City,State,Populations
New York City,ÊNYÊ,8622357
Los Angeles, CA ,4085014
Chicago, IL ,2670406
Houston, TX ,2378146
Phoenix, AZ ,1743469
Philadelphia, PA ,1590402
San Antonio, TX ,1579504
San Diego, CA ,1469490
